"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US06059074902","Census Tract 749.02, Orange County, California","6627"
"1400000US06059075002","Census Tract 750.02, Orange County, California","8605"
"1400000US06059075003","Census Tract 750.03, Orange County, California","7408"
"1400000US06059075004","Census Tract 750.04, Orange County, California","5245"
"1400000US06059075100","Census Tract 751, Orange County, California","9983"
"1400000US06059075202","Census Tract 752.02, Orange County, California","5753"
"1400000US06059074806","Census Tract 748.06, Orange County, California","5057"
"1400000US06059075201","Census Tract 752.01, Orange County, California","5822"
"1400000US06059075301","Census Tract 753.01, Orange County, California","5712"
"1400000US06059075403","Census Tract 754.03, Orange County, California","7081"
"1400000US06059075401","Census Tract 754.01, Orange County, California","3895"
"1400000US06059075302","Census Tract 753.02, Orange County, California","4481"
"1400000US06059075303","Census Tract 753.03, Orange County, California","3412"
"1400000US06059075404","Census Tract 754.04, Orange County, California","6347"
"1400000US06059075405","Census Tract 754.05, Orange County, California","2980"
"1400000US06059075504","Census Tract 755.04, Orange County, California","4041"
"1400000US06059075505","Census Tract 755.05, Orange County, California","3599"
"1400000US06059075513","Census Tract 755.13, Orange County, California","5074"
"1400000US06059075514","Census Tract 755.14, Orange County, California","3703"
"1400000US06059075515","Census Tract 755.15, Orange County, California","15295"
"1400000US06059075603","Census Tract 756.03, Orange County, California","3790"
"1400000US06059075604","Census Tract 756.04, Orange County, California","7487"
"1400000US06059075605","Census Tract 756.05, Orange County, California","5776"
"1400000US06059075606","Census Tract 756.06, Orange County, California","6941"
"1400000US06059075607","Census Tract 756.07, Orange County, California","6065"
"1400000US06059075701","Census Tract 757.01, Orange County, California","6879"
"1400000US06059075806","Census Tract 758.06, Orange County, California","6121"
"1400000US06059075702","Census Tract 757.02, Orange County, California","3343"
"1400000US06059075703","Census Tract 757.03, Orange County, California","4069"
"1400000US06059075805","Census Tract 758.05, Orange County, California","4213"
"1400000US06059075807","Census Tract 758.07, Orange County, California","4324"
"1400000US06059075808","Census Tract 758.08, Orange County, California","3404"
"1400000US06059075809","Census Tract 758.09, Orange County, California","3023"
"1400000US06059075810","Census Tract 758.10, Orange County, California","3046"
"1400000US06059075811","Census Tract 758.11, Orange County, California","3332"
"1400000US06059075812","Census Tract 758.12, Orange County, California","6573"
"1400000US06059075813","Census Tract 758.13, Orange County, California","5069"
"1400000US06059075814","Census Tract 758.14, Orange County, California","3327"
"1400000US06059075815","Census Tract 758.15, Orange County, California","5176"
"1400000US06059075816","Census Tract 758.16, Orange County, California","3709"
"1400000US06059075901","Census Tract 759.01, Orange County, California","4126"
"1400000US06037190401","Census Tract 1904.01, Los Angeles County, California","3135"
"1400000US06037189702","Census Tract 1897.02, Los Angeles County, California","2227"
"1400000US06037190100","Census Tract 1901, Los Angeles County, California","4481"
"1400000US06037183101","Census Tract 1831.01, Los Angeles County, California","3922"
"1400000US06037401201","Census Tract 4012.01, Los Angeles County, California","3110"
"1400000US06037401203","Census Tract 4012.03, Los Angeles County, California","5216"
"1400000US06037401311","Census Tract 4013.11, Los Angeles County, California","6521"
"1400000US06037401312","Census Tract 4013.12, Los Angeles County, California","5575"
"1400000US06037401603","Census Tract 4016.03, Los Angeles County, California","2913"
"1400000US06037401703","Census Tract 4017.03, Los Angeles County, California","4176"
"1400000US06037401800","Census Tract 4018, Los Angeles County, California","7378"
"1400000US06037401901","Census Tract 4019.01, Los Angeles County, California","4610"
"1400000US06037401902","Census Tract 4019.02, Los Angeles County, California","5711"
"1400000US06037402001","Census Tract 4020.01, Los Angeles County, California","3080"
"1400000US06037402002","Census Tract 4020.02, Los Angeles County, California","3913"
"1400000US06037402101","Census Tract 4021.01, Los Angeles County, California","4623"
"1400000US06037402102","Census Tract 4021.02, Los Angeles County, California","4815"
"1400000US06037401304","Census Tract 4013.04, Los Angeles County, California","5642"
"1400000US06037401303","Census Tract 4013.03, Los Angeles County, California","2199"
"1400000US06037181600","Census Tract 1816, Los Angeles County, California","4352"
"1400000US06037401002","Census Tract 4010.02, Los Angeles County, California","3973"
"1400000US06037401101","Census Tract 4011.01, Los Angeles County, California","5663"
"1400000US06037401102","Census Tract 4011.02, Los Angeles County, California","3101"
"1400000US06037401500","Census Tract 4015, Los Angeles County, California","5572"
"1400000US06037401202","Census Tract 4012.02, Los Angeles County, California","4371"
"1400000US06037401601","Census Tract 4016.01, Los Angeles County, California","5034"
"1400000US06037401701","Census Tract 4017.01, Los Angeles County, California","4137"
"1400000US06037401602","Census Tract 4016.02, Los Angeles County, California","5282"
"1400000US06037401704","Census Tract 4017.04, Los Angeles County, California","5828"
"1400000US06037402200","Census Tract 4022, Los Angeles County, California","6584"
"1400000US06037402301","Census Tract 4023.01, Los Angeles County, California","5454"
"1400000US06037402303","Census Tract 4023.03, Los Angeles County, California","3996"
"1400000US06037402304","Census Tract 4023.04, Los Angeles County, California","3848"
"1400000US06037402405","Census Tract 4024.05, Los Angeles County, California","3006"
"1400000US06037402403","Census Tract 4024.03, Los Angeles County, California","5381"
"1400000US06037402402","Census Tract 4024.02, Los Angeles County, California","7076"
"1400000US06037402404","Census Tract 4024.04, Los Angeles County, California","1945"
"1400000US06037402406","Census Tract 4024.06, Los Angeles County, California","4776"
"1400000US06037402501","Census Tract 4025.01, Los Angeles County, California","5577"
"1400000US06037402502","Census Tract 4025.02, Los Angeles County, California","7225"
"1400000US06037402600","Census Tract 4026, Los Angeles County, California","7453"
"1400000US06037402702","Census Tract 4027.02, Los Angeles County, California","6313"
"1400000US06037402703","Census Tract 4027.03, Los Angeles County, California","4686"
"1400000US06037402705","Census Tract 4027.05, Los Angeles County, California","3328"
"1400000US06099003907","Census Tract 39.07, Stanislaus County, California","7460"
"1400000US06099003909","Census Tract 39.09, Stanislaus County, California","5980"
"1400000US06099004000","Census Tract 40, Stanislaus County, California","3822"
"1400000US06101050101","Census Tract 501.01, Sutter County, California","6438"
"1400000US06101050102","Census Tract 501.02, Sutter County, California","4559"
"1400000US06101050201","Census Tract 502.01, Sutter County, California","3249"
"1400000US06101050202","Census Tract 502.02, Sutter County, California","4037"
"1400000US06101050301","Census Tract 503.01, Sutter County, California","2403"
"1400000US06101050302","Census Tract 503.02, Sutter County, California","6071"
"1400000US06101050401","Census Tract 504.01, Sutter County, California","4783"
"1400000US06101050402","Census Tract 504.02, Sutter County, California","3970"
"1400000US06101050403","Census Tract 504.03, Sutter County, California","3585"
"1400000US06101050501","Census Tract 505.01, Sutter County, California","6182"
"1400000US06101050503","Census Tract 505.03, Sutter County, California","6966"
"1400000US06101050504","Census Tract 505.04, Sutter County, California","7163"
"1400000US06101050601","Census Tract 506.01, Sutter County, California","6029"
"1400000US06101050800","Census Tract 508, Sutter County, California","3460"
"1400000US06099003905","Census Tract 39.05, Stanislaus County, California","3871"
"1400000US06101050603","Census Tract 506.03, Sutter County, California","4528"
"1400000US06101050604","Census Tract 506.04, Sutter County, California","4178"
"1400000US06101050701","Census Tract 507.01, Sutter County, California","4358"
"1400000US06101050702","Census Tract 507.02, Sutter County, California","6205"
"1400000US06101050900","Census Tract 509, Sutter County, California","1561"
"1400000US06101051000","Census Tract 510, Sutter County, California","2461"
"1400000US06101051100","Census Tract 511, Sutter County, California","2551"
"1400000US06103000100","Census Tract 1, Tehama County, California","4699"
"1400000US06103000200","Census Tract 2, Tehama County, California","7705"
"1400000US06103000300","Census Tract 3, Tehama County, California","4515"
"1400000US06103000400","Census Tract 4, Tehama County, California","5508"
"1400000US06103000500","Census Tract 5, Tehama County, California","5507"
"1400000US06103000600","Census Tract 6, Tehama County, California","5213"
"1400000US06103000700","Census Tract 7, Tehama County, California","7828"
"1400000US06103000800","Census Tract 8, Tehama County, California","4112"
"1400000US06103000900","Census Tract 9, Tehama County, California","3678"
"1400000US06103001000","Census Tract 10, Tehama County, California","7175"
